№,Имя сущности,Атрибут,Мнемоника,Описание,Тип данных,Обязательность
7_2,Уборка,Время начала,cleaning_start_time,Дата и время начала уборки,DATETIME,Да
7_3,Уборка,Время окончания,cleaning_end_time,Дата и время окончания уборки,DATETIME,Да
7_4,Уборка,Идентификатор сотрудника,cleaning_employee,Внешний ключ на таблицу Сотрудник,INT,Да
7_5,Уборка,Идентификатор помещения,cleaning_room,Внешний ключ на таблицу Помещение,INT,Да
7_6,Уборка,Статус,cleaning_status,Перечисление: запланирована/в процессе/завершена,ENUM,Да
7_7,Уборка,Идентификатор графика уборки,cleaning_schedule,Внешний ключ на таблицу График уборок,INT,Нет
8_1,Транзакция,Идентификатор,transaction_id,Уникальный числовой идентификатор,INT,Да
8_2,Транзакция,Время,transaction_time,Дата и время транзакции,DATETIME,Да
8_3,Транзакция,Тип,transaction_type,Перечисление: оплата/возврат/депозит,ENUM,Да
8_4,Транзакция,Сумма,transaction_amount,Число с 2 знаками после запятой,DECIMAL(10;2),Да
8_5,Транзакция,Идентификатор филиала,transaction_branch,Внешний ключ на таблицу Филиал,INT,Да
8_6,Транзакция,Способ оплаты,transaction_paymethod,Перечисление: наличные/карта/онлайн,ENUM,Да
8_7,Транзакция,Идентификатор записи,transaction_booking,Внешний ключ на таблицу Запись,INT,Да
9_1,Помещение,Идентификатор,room_id,Уникальный числовой идентификатор,INT,Да
9_2,Помещение,Название,room_name,Строка до 100 символов,VARCHAR(100),Да
9_3,Помещение,Идентификатор филиала,room_branch,Внешний ключ на таблицу Филиал,INT,Да
9_4,Помещение,Вместимость,room_capacity,Количество рабочих мест,INT,Да
10_1,Филиал,Идентификатор,branch_id,Уникальный числовой идентификатор,INT,Да
10_2,Филиал,Адрес,branch_address,Строка до 200 символов,VARCHAR(200),Да
10_3,Филиал,Контакты,branch_contacts,Контактная информация,VARCHAR(100),Да
10_4,Филиал,Режим работы,branch_schedule,График работы филиала,VARCHAR(100),Да
11_1,График уборок,Идентификатор,clean_schedule_id,Уникальный числовой идентификатор,INT,Да
11_2,График уборок,Длительность,clean_schedule_duration,Длительность уборки в минутах,INT,Да
11_3,График уборок,Периодичность,clean_schedule_frequency,Перечисление: ежедневно/еженедельно/ежемесячно,ENUM,Да
11_4,График уборок,Тип уборки,clean_schedule_type,Перечисление: ежедневная/генеральная/экстренная,ENUM,Да
12_1,Расписание сотрудников,Идентификатор,emp_schedule_id,Уникальный числовой идентификатор,INT,Да
12_2,Расписание сотрудников,Идентификатор сотрудника,emp_schedule_employee,Внешний ключ на таблицу Сотрудник,INT,Да
12_3,Расписание сотрудников,Дата и время начала смены,emp_schedule_start,Дата и время начала рабочей смены,DATETIME,Да
12_4,Расписание сотрудников,Дата и время окончания смены,emp_schedule_end,Дата и время окончания рабочей смены,DATETIME,Да
